id,game,start_date,end_date,price
1,Subnautica,12/12/2018,27/12/2018,29.99
2,Super Meat Boy,28/12/2018,10/01/2019,14.99
3,What Remains of Edith Finch,11/01/2019,24/01/2019,19.99
4,The Jackbox Party Pack,24/01/2019,07/02/2019,24.99
5,Axiom Verge,07/02/2019,21/02/2019,19.99
6,Thimbleweed Park,21/02/2019,07/03/2019,19.99
7,Slime Rancher,07/03/2019,21/03/2019,19.99
8,Oxenfree,21/03/2019,04/04/2019,9.99
9,The Witness,04/04/2019,18/04/2019,39.99
10,Transistor,18/04/2019,02/05/2019,19.99
11,World of Goo,02/05/2019,16/05/2019,14.99
12,Stories Untold,16/05/2019,30/05/2019,9.99
13,RiME,23/05/2019,30/05/2019,29.99
14,City of Brass,30/05/2019,06/06/2019,19.99
15,Kingdom: New Lands,06/06/2019,13/06/2019,14.99
16,Enter the Gungeon,13/06/2019,20/06/2019,14.99
17,Rebel Galaxy,20/06/2019,27/06/2019,19.99
18,Last Day of June,27/06/2019,04/07/2019,19.99
19,Overcooked!,04/07/2019,11/07/2019,16.99
20,Torchlight,11/07/2019,18/07/2019,14.99
21,Limbo,18/07/2019,25/07/2019,12.49
22,Moonlighter,25/07/2019,01/08/2019,19.99
23,This War of Mine,25/07/2019,01/08/2019,19.99
24,Alan Wake,02/08/2019,09/08/2019,14.99
25,For Honor,02/08/2019,09/08/2019,29.99
26,GNOG,08/08/2019,15/08/2019,9.99
27,Hyper Light Drifter,15/08/2019,22/08/2019,19.99
28,Mutant Year Zero: Road to Eden,15/08/2019,22/08/2019,34.99
29,Fez,22/08/2019,29/08/2019,9.99
30,Celeste,29/08/2019,05/09/2019,19.99
31,Inside,29/08/2019,05/09/2019,24.99
32,ABZU,05/09/2019,12/09/2019,19.99
33,The End is Nigh,05/09/2019,12/09/2019,14.99
34,Conarium,12/09/2019,19/09/2019,19.99
35,Batman: Arkham Collection,19/09/2019,26/09/2019,59.99
36,LEGO Batman Trilogy,19/09/2019,26/09/2019,49.99
37,Everything,26/09/2019,03/10/2019,14.99
38,Metro 2033 Redux,26/09/2019,03/10/2019,19.99
39,Minit,03/10/2019,10/10/2019,9.99
40,Surviving Mars,10/10/2019,17/10/2019,29.99
41,Alan Wake's: American Nightmare,17/10/2019,28/10/2019,8.99
42,Layers of Fear,24/10/2019,31/10/2019,29.99
43,Observer,24/10/2019,31/10/2019,29.99
44,Costume Quest,31/10/2019,07/11/2019,9.99
45,Q.U.B.E. 2,31/10/2019,07/11/2019,24.99
46,SOMA,31/10/2019,07/11/2019,29.99
47,Nuclear Throne,07/11/2019,14/11/2019,11.99
48,Ruiner,07/11/2019,14/11/2019,19.99
49,The Messenger,14/11/2019,21/11/2019,19.99
50,Bad North: Jotunn Edition,21/11/2019,29/11/2019,14.99
51,Rayman Legends,29/11/2019,06/12/2019,29.99
52,Jotun: Valhalla Edition,05/12/2019,12/12/2019,14.99
53,The Escapists,12/12/2019,19/12/2019,17.99
54,The Wolf Among Us,12/12/2019,19/12/2019,14.99
55,Into the Breach,19/12/2019,20/12/2019,14.99
56,TowerFall Ascension,20/12/2019,21/12/2019,14.99
57,Superhot,21/12/2019,22/12/2019,24.99
58,Little Inferno,22/12/2019,23/12/2019,14.99
59,Ape Out,23/12/2019,24/12/2019,14.99
60,Celeste,24/12/2019,25/12/2019,19.99
61,Totally Accurate Battle Simulator,25/12/2019,26/12/2019,19.99
62,FTL: Faster Than Light,26/12/2019,27/12/2019,9.99
63,Hyper Light Drifter,27/12/2019,28/12/2019,19.99
64,Shadow Tactics: Blades of the Shogun,28/12/2019,29/12/2019,39.99
65,The Talos Principle,29/12/2019,30/12/2019,29.99
66,Hello Neighbor,30/12/2019,31/12/2019,29.99
67,Yooka-Laylee and the Impossible Lair,31/12/2019,01/01/2020,29.99
68,Darksiders,01/01/2020,09/01/2020,39.99
69,Darksiders II,01/01/2020,09/01/2020,39.99
70,Steep,01/01/2020,09/01/2020,29.99
71,Sundered: Eldritch Edition,09/01/2020,16/01/2020,19.99
72,Horace,16/01/2020,23/01/2020,14.99
73,The Bridge,23/01/2020,30/01/2020,9.99
74,Farming Simulator 19,30/01/2020,06/02/2020,17.99
75,Carcassonne,06/02/2020,13/02/2020,14.99
76,Ticket to Ride,06/02/2020,13/02/2020,14.99
77,Aztez,13/02/2020,20/02/2020,19.99
78,Kingdom Come: Deliverance,13/02/2020,20/02/2020,29.99
79,Assassin's Creed Syndicate,20/02/2020,27/02/2020,29.99
80,Faeria,20/02/2020,27/02/2020,19.99
81,InnerSpace,27/02/2020,05/03/2020,19.99
82,GoNNER,05/03/2020,12/03/2020,9.99
83,Offworld Trading Company,05/03/2020,12/03/2020,29.99
84,A Short Hike,12/03/2020,19/03/2020,7.99
85,Anodyne 2: Return to Dust,12/03/2020,19/03/2020,19.99
86,Mutazione,12/03/2020,19/03/2020,19.99
87,The Stanley Parable,19/03/2020,26/03/2020,14.99
88,Watch Dogs,19/03/2020,26/03/2020,19.99
89,Figment,26/03/2020,02/04/2020,19.99
90,Tormentor x Punisher,26/03/2020,02/04/2020,7.99
91,World War Z,26/03/2020,02/04/2020,29.99
92,Drawful 2,02/04/2020,09/04/2020,9.99
93,Gone Home,02/04/2020,09/04/2020,14.99
94,Hob,02/04/2020,09/04/2020,19.99
95,Totally Reliable Delivery Service,02/04/2020,09/04/2020,14.99
96,Close to the Sun,09/04/2020,16/04/2020,19.99
97,Sherlock Holmes: Crimes and Punishments,09/04/2020,16/04/2020,29.99
98,Just Cause 4,16/04/2020,23/04/2020,59.99
99,Wheels of Aurelia,16/04/2020,23/04/2020,14.99
100,For the King,23/04/2020,30/04/2020,19.99
101,Amnesia: The Dark Descent,30/04/2020,07/05/2020,19.99
102,Crashlands,30/04/2020,07/05/2020,14.99
103,Death Coming,07/05/2020,14/05/2020,6.99
104,Grand Theft Auto V,14/05/2020,21/05/2020,29.99
105,Sid Meier's Civilization VI,21/05/2020,28/05/2020,59.99
106,Borderlands 2,28/05/2020,04/06/2020,19.99
107,Borderlands: The Handsome Collection,28/05/2020,04/06/2020,59.99
108,Borderlands: The Pre-Sequel,28/05/2020,04/06/2020,39.99
109,Overcooked!,04/06/2020,11/06/2020,16.99
110,Ark: Survival Evolved,11/06/2020,18/06/2020,14.99
111,Samurai Shodown NeoGeo Collection,11/06/2020,18/06/2020,39.99
112,Pathway,18/06/2020,25/06/2020,15.99
113,AER: Memories of Old,25/06/2020,02/07/2020,14.99
114,Stranger Things 3: The Game,25/06/2020,02/07/2020,19.99
115,Hue,02/07/2020,09/07/2020,14.99
116,Killing Floor 2,09/07/2020,16/07/2020,29.99
117,Lifeless Planet: Premier Edition,09/07/2020,16/07/2020,9.99
118,The Escapists 2,09/07/2020,16/07/2020,19.99
119,Torchlight II,16/07/2020,23/07/2020,19.99
120,Next Up Hero,23/07/2020,30/07/2020,19.99
121,Tacoma,23/07/2020,30/07/2020,19.99
122,20XX,30/07/2020,06/08/2020,14.99
123,Barony,30/07/2020,06/08/2020,19.99
124,Superbrothers: Sword & Sworcery EP,30/07/2020,06/08/2020,7.99
125,3 out of 10: Season One,06/08/2020,13/08/2020,0
126,Wilmot's Warehouse,06/08/2020,13/08/2020,14.99
127,Remnant: From the Ashes,13/08/2020,20/08/2020,39.99
128,The Alto Collection,13/08/2020,20/08/2020,9.99
129,Enter the Gungeon,20/08/2020,27/08/2020,14.99
130,God's Trigger,20/08/2020,27/08/2020,14.99
131,Hitman (2016),27/08/2020,03/09/2020,29.99
132,Shadowrun Collection,27/08/2020,03/09/2020,39.99
133,Into the Breach,03/09/2020,10/09/2020,14.99
134,Railway Empire,10/09/2020,17/09/2020,29.99
135,Where the Water Tastes Like Wine,10/09/2020,17/09/2020,19.99
136,A Total War Saga: Troy,13/09/2020,13/09/2020,39.99
137,Football Manager 2020,17/09/2020,24/09/2020,5.49
138,Stick It To The Man!,17/09/2020,24/09/2020,7.99
139,Watch Dogs 2,17/09/2020,24/09/2020,49.99
140,RollerCoaster Tycoon 3: Complete Edition,24/09/2020,01/10/2020,19.99
141,Pikuniku,01/10/2020,08/10/2020,12.99
142,ABZU,08/10/2020,15/10/2020,19.99
143,Rising Storm 2: Vietnam,08/10/2020,15/10/2020,24.99
144,Amnesia: A Machine for Pigs,15/10/2020,22/10/2020,19.99
145,Kingdom New Lands,15/10/2020,22/10/2020,14.99
146,Costume Quest 2,22/10/2020,29/10/2020,14.99
147,Layers of Fear 2,22/10/2020,29/10/2020,19.99
148,Blair Witch,29/10/2020,05/11/2020,29.99
149,Ghostbusters: The Video Game Remastered,29/10/2020,05/11/2020,24.99
150,Dungeons 3,05/11/2020,12/11/2020,29.99
151,The Textorcist: The Story of Ray Bibbia,12/11/2020,19/11/2020,14.99
152,Elite Dangerous,19/11/2020,26/11/2020,19.99
153,The World Next Door,19/11/2020,26/11/2020,9.99
154,MudRunner,26/11/2020,03/12/2020,19.99
155,Cave Story+,03/12/2020,10/12/2020,14.99
156,Pillars of Eternity: Definitive Edition,10/12/2020,17/12/2020,39.99
157,Tyranny: Gold Edition,10/12/2020,17/12/2020,49.99
158,Cities: Skylines,17/12/2020,18/12/2020,29.99
159,Oddworld: New 'n' Tasty,18/12/2020,19/12/2020,19.99
160,The Long Dark,19/12/2020,20/12/2020,19.99
161,Defense Grid: The Awakening,20/12/2020,21/12/2020,9.99
162,Alien: Isolation,21/12/2020,22/12/2020,39.99
163,Metro 2033 Redux,22/12/2020,23/12/2020,19.99
164,Tropico 5,23/12/2020,24/12/2020,19.99
165,Inside,24/12/2020,25/12/2020,24.99
166,Darkest Dungeon,25/12/2020,26/12/2020,24.99
167,My Time at Portia,26/12/2020,27/12/2020,29.99
168,Night in the Woods,27/12/2020,28/12/2020,19.99
169,Stranded Deep,28/12/2020,29/12/2020,19.99
170,Solitairica,29/12/2020,30/12/2020,9.99
171,Torchlight II,30/12/2020,31/12/2020,19.99
172,Jurassic World Evolution,31/12/2020,07/01/2021,44.99
173,Crying Suns,07/01/2021,14/01/2021,24.99
174,STAR WARS Battlefront II,14/01/2021,21/01/2021,39.99
175,Galactic Civilizations III,21/01/2021,28/01/2021,29.99
176,Dandara,28/01/2021,04/02/2021,14.99
177,For The King,04/02/2021,11/02/2021,19.99
178,Metro: Last Light Redux,04/02/2021,11/02/2021,19.99
179,Halcyon 6: Starbase Commander,11/02/2021,18/02/2021,14.99
180,Absolute Drift,18/02/2021,25/02/2021,11.99
181,Rage 2,18/02/2021,25/02/2021,39.99
182,Sunless Sea,25/02/2021,04/03/2021,18.99
183,Wargame: Red Dragon,04/03/2021,11/03/2021,29.99
184,Surviving Mars,11/03/2021,18/03/2021,29.99
185,The Fall,18/03/2021,25/03/2021,9.99
186,Creature in the Well,25/03/2021,01/04/2021,14.99
187,Tales of the Neon Sea,01/04/2021,08/04/2021,14.99
188,3 out of 10: Season Two,08/04/2021,15/04/2021,0
189,Deponia,15/04/2021,22/04/2021,9.99
190,Ken Follett's The Pillars of the Earth,15/04/2021,22/04/2021,19.99
191,The First Tree,15/04/2021,22/04/2021,9.99
192,Alien: Isolation,22/04/2021,29/04/2021,39.99
193,Hand of Fate 2,22/04/2021,29/04/2021,29.99
194,Idle Champions of the Forgotten Realms,29/04/2021,06/05/2021,11.99
195,Pine,06/05/2021,13/05/2021,24.99
196,The Lion's Song,13/05/2021,20/05/2021,7.99
197,NBA 2K21,20/05/2021,27/05/2021,69.99
198,Among Us,27/05/2021,03/06/2021,4.99
199,Frostpunk,03/06/2021,10/06/2021,29.99
200,Control,10/06/2021,17/06/2021,4.99
201,Hell is Other Demons,17/06/2021,24/06/2021,9.99
202,Overcooked! 2,17/06/2021,24/06/2021,24.99
203,Horizon Chase Turbo,24/06/2021,01/07/2021,19.99
204,Sonic Mania,24/06/2021,01/07/2021,19.99
205,The Spectrum Retreat,01/07/2021,08/07/2021,12.99
206,Bridge Constructor: The Walking Dead,08/07/2021,15/07/2021,9.99
207,Ironcast,08/07/2021,15/07/2021,14.99
208,Obduction,15/07/2021,22/07/2021,29.99
209,Offworld Trading Company,15/07/2021,22/07/2021,29.99
210,Defense Grid: The Awakening,22/07/2021,29/07/2021,9.99
211,Verdun,22/07/2021,29/07/2021,19.99
212,Mothergunship,29/07/2021,05/08/2021,24.99
213,Train Sim World 2,29/07/2021,05/08/2021,19.99
214,A Plague Tale: Innocence,05/08/2021,12/08/2021,39.99
215,Minit,05/08/2021,12/08/2021,9.99
216,Rebel Galaxy,12/08/2021,19/08/2021,19.99
217,Void Bastards,19/08/2021,26/08/2021,29.99
218,Yooka-Laylee,19/08/2021,26/08/2021,19.99
219,Automachef,26/08/2021,02/09/2021,14.99
220,Saints Row: The Third Remastered,26/08/2021,02/09/2021,29.99
221,Yoku's Island Express,02/09/2021,09/09/2021,19.99
222,Nioh: The Complete Edition,09/09/2021,16/09/2021,49.99
223,Sheltered,09/09/2021,16/09/2021,14.99
224,Speed Brawl,16/09/2021,23/09/2021,19.99
225,Tharsis,16/09/2021,23/09/2021,14.99
226,The Escapists,23/09/2021,30/09/2021,17.99
227,Europa Universalis IV,30/09/2021,07/10/2021,49.99
228,PC Building Simulator,07/10/2021,14/10/2021,19.99
229,Stubbs the Zombie in Rebel Without a Pulse,14/10/2021,21/10/2021,19.99
230,Among the Sleep: Enhanced Edition,21/10/2021,28/10/2021,16.99
231,DARQ,28/10/2021,04/11/2021,19.99
232,Aven Colony,04/11/2021,11/11/2021,29.99
233,Rogue Company Season 4 Epic Pack (DLC),11/11/2021,18/11/2021,9.99
234,Tiny Tina’s Assault on Dragon Keep: A Wonderlands One-Shot Adventure,11/11/2021,18/11/2021,9.99
235,Guild of Dungeoneering,18/11/2021,25/11/2021,7.99
236,KID A MNESIA EXHIBITION,18/11/2021,25/11/2021,0
237,Never Alone (Kisima Ingitchuna),18/11/2021,25/11/2021,14.99
238,Antstream,25/11/2021,02/12/2021,39.99
239,theHunter: Call of the Wild,25/11/2021,02/12/2021,19.99
240,Dead by Daylight,02/12/2021,09/12/2021,19.99
241,while True: learn(),02/12/2021,09/12/2021,12.99
242,Godfall: Challenger Edition,09/12/2021,16/12/2021,24.99
243,Prison Architect,09/12/2021,16/12/2021,29.99
