ï»¿id,game,start_date,end_date,price,seller,year,real_value,id
1,Subnautica,2018-12-12,27/12/2018,29.99,Unknown Worlds Entertainment,2018,39.5868,0
2,Super Meat Boy,2018-12-28,10/01/2019,14.99,Unknown Publisher,2018,19.7868,0
3,What Remains of Edith Finch,2019-01-11,24/01/2019,19.99,Annapurna Interactive,2019,25.7871,0
4,The Jackbox Party Pack,2019-01-24,07/02/2019,24.99,"Jackbox Games, Inc.",2019,32.2371,0
5,Axiom Verge,2019-02-07,21/02/2019,19.99,Thomas Happ Games Llc,2019,25.7871,0
6,Thimbleweed Park,2019-02-21,07/03/2019,19.99,Terrible Toybox,2019,25.7871,0
7,Slime Rancher,2019-03-07,21/03/2019,19.99,Monomi Park,2019,25.7871,0
8,Oxenfree,2019-03-21,04/04/2019,9.99,Night School Studio,2019,12.8871,0
9,The Witness,2019-04-04,18/04/2019,39.99,"Thekla, Inc.",2019,51.58710000000001,0
10,Transistor,2019-04-18,02/05/2019,19.99,Supergiant Games,2019,25.7871,0
11,World of Goo,2019-05-02,16/05/2019,14.99,2D Boy,2019,19.3371,0
12,Stories Untold,2019-05-16,30/05/2019,9.99,Devolver Digital,2019,12.8871,0
13,RiME,2019-05-23,30/05/2019,29.99,Grey Box,2019,38.6871,0
14,City of Brass,2019-05-30,06/06/2019,19.99,Uppercut Games Pty Ltd,2019,25.7871,0
15,Kingdom: New Lands,2019-06-06,13/06/2019,14.99,Raw Fury,2019,19.3371,0
16,Enter the Gungeon,2019-06-13,20/06/2019,14.99,Devolver Digital,2019,19.3371,0
17,Rebel Galaxy,2019-06-20,27/06/2019,19.99,Double Damage Games,2019,25.7871,0
18,Last Day of June,2019-06-27,04/07/2019,19.99,505 Games,2019,25.7871,0
19,Overcooked!,2019-07-04,11/07/2019,16.99,Team17 Digital Ltd,2019,21.917099999999998,0
20,Torchlight,2019-07-11,18/07/2019,14.99,Xd,2019,19.3371,0
21,Limbo,2019-07-18,25/07/2019,12.49,Playdead,2019,16.1121,0
22,Moonlighter,2019-07-25,01/08/2019,19.99,11 Bit Studios,2019,25.7871,0
