id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
1,Subnautica,12/12/2018,27/12/2018,29.99,Unknown Worlds Entertainment,2018,39.5868,2018-01-23,83.9090909090909,2021-01-01,Subnautica,751.0,False
2,Super Meat Boy,28/12/2018,10/01/2019,14.99,Team Meat,2018,19.7868,2010-10-20,85.25,2020-12-23,Super Meat Boy Forever,726.0,False
3,What Remains of Edith Finch,11/01/2019,24/01/2019,19.99,Annapurna Interactive,2019,25.7871,2017-04-24,86.95238095238095,N/A,Standalone,,False
4,The Jackbox Party Pack,24/01/2019,07/02/2019,24.99,"Jackbox Games, Inc.",2019,32.2371,2014-11-18,73.5,N/A,Standalone,,False
5,Axiom Verge,07/02/2019,21/02/2019,19.99,Thomas Happ Games Llc,2019,25.7871,2015-03-31,83.86666666666666,N/A,Standalone,,False
6,Thimbleweed Park,21/02/2019,07/03/2019,19.99,Terrible Toybox,2019,25.7871,2017-03-30,82.61538461538461,N/A,Standalone,,False
7,Slime Rancher,07/03/2019,21/03/2019,19.99,Monomi Park,2019,25.7871,2017-08-01,77.66666666666667,2022-09-22,Slime Rancher 2,1295.0,False
8,Oxenfree,21/03/2019,04/04/2019,9.99,Night School Studio,2019,12.8871,2016-01-14,78.5625,2023-07-12,Oxenfree II: Lost Signals,1574.0,False
9,The Witness,04/04/2019,18/04/2019,39.99,"Thekla, Inc.",2019,51.58710000000001,2016-01-26,96.28571428571429,N/A,Standalone,,False
10,Transistor,18/04/2019,02/05/2019,19.99,Supergiant Games,2019,25.7871,2014-05-20,85.25,N/A,Standalone,,False
11,World of Goo,02/05/2019,16/05/2019,14.99,2D Boy,2019,19.3371,2008-10-13,86.75,N/A,Standalone,,False
12,Stories Untold,16/05/2019,30/05/2019,9.99,Devolver Digital,2019,12.8871,2017-02-27,78.33333333333333,N/A,Standalone,,False
13,RiME,23/05/2019,30/05/2019,29.99,Grey Box,2019,38.6871,2018-09-28,73.0,N/A,Standalone,,False
14,City of Brass,30/05/2019,06/06/2019,19.99,Uppercut Games Pty Ltd,2019,25.7871,2018-05-04,68.125,N/A,Standalone,,False
15,Kingdom: New Lands,06/06/2019,13/06/2019,14.99,Raw Fury,2019,19.3371,2016-08-09,75.0,2023-06-26,Kingdom Eighties: Summer of Greed,1481.0,False
16,Enter the Gungeon,13/06/2019,20/06/2019,14.99,Devolver Digital,2019,19.3371,2016-04-05,82.46153846153847,N/A,No Future Sequel Found,,False
17,Rebel Galaxy,20/06/2019,27/06/2019,19.99,Double Damage Games,2019,25.7871,2015-10-20,72.14285714285714,N/A,Standalone,,False
18,Last Day of June,27/06/2019,04/07/2019,19.99,505 Games,2019,25.7871,2017-08-31,76.33333333333333,N/A,Standalone,,False
19,Overcooked!,04/07/2019,11/07/2019,16.99,Team17 Digital Ltd,2019,21.917099999999998,2016-08-03,81.53846153846153,N/A,Standalone,,False
20,Torchlight,11/07/2019,18/07/2019,14.99,Xd,2019,19.3371,2009-10-27,83.33333333333333,N/A,Standalone,,False
21,Limbo,18/07/2019,25/07/2019,12.49,Playdead,2019,16.1121,2010-07-21,84.0,N/A,Standalone,,False
22,Moonlighter,25/07/2019,01/08/2019,19.99,11 Bit Studios,2019,25.7871,2018-11-05,82.0,2025-10-23,Moonlighter 2: The Endless Vault,2282.0,False
23,This War of Mine,25/07/2019,01/08/2019,19.99,11 Bit Studios,2019,25.7871,2014-11-14,82.0,N/A,Standalone,,False
24,Alan Wake,02/08/2019,09/08/2019,14.99,Remedy Entertainment,2019,19.3371,2010-05-14,83.0,2021-10-05,Alan Wake Remastered ,795.0,False
25,For Honor,02/08/2019,09/08/2019,29.99,Ubisoft,2019,38.6871,2022-03-17,77.0,N/A,Standalone,,False
26,GNOG,08/08/2019,15/08/2019,9.99,Ko_Op,2019,12.8871,2017-05-02,75.0,N/A,Standalone,,False
27,Hyper Light Drifter,15/08/2019,22/08/2019,19.99,Heart Machine,2019,25.7871,2016-03-31,88.9090909090909,N/A,Standalone,,False
28,Mutant Year Zero: Road to Eden,15/08/2019,22/08/2019,34.99,Funcom,2019,45.137100000000004,2018-12-04,81.25,N/A,Standalone,,False
