id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
1,Subnautica,12/12/2018,27/12/2018,29.99,Unknown Worlds Entertainment,23/01/2018,83.90909091,39.5868,01/01/2021,Subnautica,2018,751.0,False
2,Super Meat Boy,28/12/2018,10/01/2019,14.99,Team Meat,20/10/2010,85.25,19.7868,23/12/2020,Super Meat Boy Forever,2018,,False
3,What Remains of Edith Finch,11/01/2019,24/01/2019,19.99,Annapurna Interactive,2017-04-24,86.95238095238095,25.7871,N/A,Standalone,2019,,False
4,The Jackbox Party Pack,24/01/2019,07/02/2019,24.99,"Jackbox Games, Inc.",2014-11-18,73.5,32.2371,N/A,Standalone,2019,,False
5,Axiom Verge,07/02/2019,21/02/2019,19.99,Thomas Happ Games Llc,2015-03-31,83.86666666666666,25.7871,N/A,Standalone,2019,,False
6,Thimbleweed Park,21/02/2019,07/03/2019,19.99,Terrible Toybox,2017-03-30,82.61538461538461,25.7871,N/A,Standalone,2019,,False
7,Slime Rancher,07/03/2019,21/03/2019,19.99,Monomi Park,01/08/2017,77.66666667,25.7871,22/09/2022,Slime Rancher 2,2019,,False
8,Oxenfree,21/03/2019,04/04/2019,9.99,Night School Studio,14/01/2016,78.5625,12.8871,12/07/2023,Oxenfree II: Lost Signals,2019,1722.0,False
9,The Witness,04/04/2019,18/04/2019,39.99,"Thekla, Inc.",2016-01-26,96.28571428571429,51.58710000000001,N/A,Standalone,2019,,False
10,Transistor,18/04/2019,02/05/2019,19.99,Supergiant Games,2014-05-20,85.25,25.7871,N/A,Standalone,2019,,False
11,World of Goo,02/05/2019,16/05/2019,14.99,2D Boy,2008-10-13,86.75,19.3371,N/A,Standalone,2019,,False
12,Stories Untold,16/05/2019,30/05/2019,9.99,Devolver Digital,2017-02-27,78.33333333333333,12.8871,N/A,Standalone,2019,,False
13,RiME,23/05/2019,30/05/2019,29.99,Grey Box,2018-09-28,73.0,38.6871,N/A,Standalone,2019,,False
14,City of Brass,30/05/2019,06/06/2019,19.99,Uppercut Games Pty Ltd,2018-05-04,68.125,25.7871,N/A,Standalone,2019,,False
15,Kingdom: New Lands,06/06/2019,13/06/2019,14.99,Raw Fury,09/08/2016,75.0,19.3371,26/06/2023,Kingdom Eighties: Summer of Greed,2019,,False
16,Enter the Gungeon,13/06/2019,20/06/2019,14.99,Devolver Digital,2016-04-05,82.46153846153847,19.3371,N/A,No Future Sequel Found,2019,,False
17,Rebel Galaxy,20/06/2019,27/06/2019,19.99,Double Damage Games,2015-10-20,72.14285714285714,25.7871,N/A,Standalone,2019,,False
18,Last Day of June,27/06/2019,04/07/2019,19.99,505 Games,2017-08-31,76.33333333333333,25.7871,N/A,Standalone,2019,,False
19,Overcooked!,04/07/2019,11/07/2019,16.99,Team17 Digital Ltd,2016-08-03,81.53846153846153,21.917099999999998,N/A,Standalone,2019,,False
20,Torchlight,11/07/2019,18/07/2019,14.99,Xd,2009-10-27,83.33333333333333,19.3371,N/A,Standalone,2019,,False
21,Limbo,18/07/2019,25/07/2019,12.49,Playdead,2010-07-21,84.0,16.1121,N/A,Standalone,2019,,False
22,Moonlighter,25/07/2019,01/08/2019,19.99,11 Bit Studios,05/11/2018,82.0,25.7871,23/10/2025,Moonlighter 2: The Endless Vault,2019,,False
23,This War of Mine,25/07/2019,01/08/2019,19.99,11 Bit Studios,2014-11-14,82.0,25.7871,N/A,Standalone,2019,,False
24,Alan Wake,02/08/2019,09/08/2019,14.99,Remedy Entertainment,14/05/2010,83.0,19.3371,05/10/2021,Alan Wake Remastered ,2019,647.0,False
25,For Honor,02/08/2019,09/08/2019,29.99,Ubisoft,2022-03-17,77.0,38.6871,N/A,Standalone,2019,,False
26,GNOG,08/08/2019,15/08/2019,9.99,Ko_Op,2017-05-02,75.0,12.8871,N/A,Standalone,2019,,False
27,Hyper Light Drifter,15/08/2019,22/08/2019,19.99,Heart Machine,2016-03-31,88.9090909090909,25.7871,N/A,Standalone,2019,,False
28,Mutant Year Zero: Road to Eden,15/08/2019,22/08/2019,34.99,Funcom,2018-12-04,81.25,45.137100000000004,N/A,Standalone,2019,,False
29,Fez,22/08/2019,29/08/2019,9.99,Trapdoor,2012-04-13,85.5,12.8871,N/A,Standalone,2019,,False
30,Celeste,29/08/2019,05/09/2019,19.99,Maddy Makes Games Inc.,2018-01-25,91.3,25.7871,N/A,Standalone,2019,,False
31,Inside,29/08/2019,05/09/2019,24.99,Playdead,2016-06-29,92.0,32.2371,N/A,Standalone,2019,,False
32,ABZU,05/09/2019,12/09/2019,19.99,505 Games,2016-08-02,80.85185185185185,25.7871,N/A,Standalone,2019,,False
33,The End is Nigh,05/09/2019,12/09/2019,14.99,Edmund Mcmillen,2017-07-12,74.33333333333333,19.3371,N/A,Standalone,2019,,False
34,Conarium,12/09/2019,19/09/2019,19.99,Iceberg Interactive,2017-06-06,72.0,25.7871,N/A,Standalone,2019,,False
35,Batman: Arkham Collection,19/09/2019,26/09/2019,59.99,Warner Bros. Games,2018-11-27,99.0,77.3871,N/A,Standalone,2019,,False
36,LEGO Batman Trilogy,19/09/2019,26/09/2019,49.99,Warner Bros. Games,2014-11-11,,64.4871,N/A,Standalone,2019,,False
37,Everything,26/09/2019,03/10/2019,14.99,David Oreilly,2017-03-21,72.0,19.3371,N/A,Standalone,2019,,False
38,Metro 2033 Redux,26/09/2019,03/10/2019,19.99,Deep Silver,2014-08-26,80.0,25.7871,N/A,Standalone,2019,,False
39,Minit,03/10/2019,10/10/2019,9.99,Devolver Digital,2018-04-03,77.85714285714286,12.8871,N/A,Standalone,2019,,False
40,Surviving Mars,10/10/2019,17/10/2019,29.99,Paradox Interactive,2018-03-15,73.57142857142857,38.6871,N/A,Standalone,2019,,False
41,Alan Wake's: American Nightmare,17/10/2019,28/10/2019,8.99,Remedy Entertainment,2012-02-22,79.28571428571429,11.597100000000001,N/A,Standalone,2019,,False
