id,game,start_date,end_date,game title,start of free,end of free
1.0,Subnautica,12/12/2018,27/12/2018,,,
2.0,Super Meat Boy,28/12/2018,10/01/2019,,,
3.0,What Remains of Edith Finch,11/01/2019,24/01/2019,,,
4.0,The Jackbox Party Pack,24/01/2019,07/02/2019,,,
5.0,Axiom Verge,07/02/2019,21/02/2019,,,
6.0,Thimbleweed Park,21/02/2019,07/03/2019,,,
7.0,Slime Rancher,07/03/2019,21/03/2019,,,
8.0,Oxenfree,21/03/2019,04/04/2019,,,
9.0,The Witness,04/04/2019,18/04/2019,,,
10.0,Transistor,18/04/2019,02/05/2019,,,
11.0,World of Goo,02/05/2019,16/05/2019,,,
12.0,Stories Untold,16/05/2019,30/05/2019,,,
13.0,RiME,23/05/2019,30/05/2019,,,
14.0,City of Brass,30/05/2019,06/06/2019,,,
15.0,Kingdom: New Lands,06/06/2019,13/06/2019,,,
16.0,Enter the Gungeon,13/06/2019,20/06/2019,,,
17.0,Rebel Galaxy,20/06/2019,27/06/2019,,,
18.0,Last Day of June,27/06/2019,04/07/2019,,,
19.0,Overcooked!,04/07/2019,11/07/2019,,,
20.0,Torchlight,11/07/2019,18/07/2019,,,
21.0,Limbo,18/07/2019,25/07/2019,,,
22.0,Moonlighter,25/07/2019,01/08/2019,,,
23.0,This War of Mine,25/07/2019,01/08/2019,,,
24.0,Alan Wake,02/08/2019,09/08/2019,,,
25.0,For Honor,02/08/2019,09/08/2019,,,
26.0,GNOG,08/08/2019,15/08/2019,,,
27.0,Hyper Light Drifter,15/08/2019,22/08/2019,,,
28.0,Mutant Year Zero: Road to Eden,15/08/2019,22/08/2019,,,
29.0,Fez,22/08/2019,29/08/2019,,,
30.0,Celeste,29/08/2019,05/09/2019,,,
31.0,Inside,29/08/2019,05/09/2019,,,
32.0,ABZU,05/09/2019,12/09/2019,,,
33.0,The End is Nigh,05/09/2019,12/09/2019,,,
34.0,Conarium,12/09/2019,19/09/2019,,,
35.0,Batman: Arkham Asylum,19/09/2019,26/09/2019,,,
36.0,Batman: Arkham City,19/09/2019,26/09/2019,,,
37.0,Batman: Arkham Collection,19/09/2019,26/09/2019,,,
